"postnummer","week","barn: 0","barn: 1","barn: 2","barn: 3","Inkomstkälla: Förvärvsarbete","Inkomstkälla: Studerande","Inkomstkälla: Vård av barn/anhörig","Inkomstkälla: Sjuk","Inkomstkälla: Arbetslös","Inkomstkälla: Förtidspension","Inkomstkälla: Ekonomiskt bistånd","Inkomstkälla: Arbetsmarknadspol åtgärd","Inkomstkälla: Ålderspensionär","Inkomstkälla: Saknar inkomst","Medelålder","Befolkning 0-17 år","Befolkning 18+ år","Befolkning Totalt","Befolkning 0-17 år %","Befolkning 18+ år %","Inkomst Kvartil 1","Inkomst Kvartil 2","Inkomst Kvartil 3","Inkomst Kvartil 4","Inkomst: Median","Genomsnittlig boarea per person"
"73392","26","0.7061994609","0.08625336927","0.1563342318","0.05121293801","0.8832684825","0.02140077821","0.01361867704","0.009727626459","0.005836575875","0.02918287938","0","0","0.01750972763","0.01945525292","43","207","713","920","0.225","0.775","0.2364672365","0.235042735","0.3091168091","0.2193732194","251593","55.5"
"74010","26","0.7178456592","0.09807073955","0.1406752412","0.04340836013","0.8450881612","0.01385390428","0.0201511335","0.02833753149","0.003778337531","0.0314861461","0.01070528967","0.007556675063","0.0144836272","0.02455919395","42","648","2254","2902","0.2232942798","0.7767057202","0.2184331797","0.23640553","0.2705069124","0.2746543779","255827","47.4"
"74011","26","0.7307692308","0.08333333333","0.141025641","0.04487179487","0.8286384977","0.0234741784","0.03521126761","0.02112676056","0","0.02816901408","0.01408450704","0.007042253521","0.007042253521","0.03521126761","41.3","158","570","728","0.217032967","0.782967033","0.2239858907","0.2380952381","0.2557319224","0.2821869489","252617","45.2"
"74012","26","0.7527322404","0.0956284153","0.1051912568","0.04644808743","0.846325167","0.01670378619","0.02227171492","0.01893095768","0.007795100223","0.02227171492","0.01002227171","0.007795100223","0.02004454343","0.02783964365","43.8","343","1320","1663","0.2062537583","0.7937462417","0.2361652377","0.2696804365","0.2486360094","0.2455183164","237843","46.5"
"74020","26","0.6390916464","0.1159772912","0.1678832117","0.07704785077","0.8603156049","0.01928696669","0.01987142022","0.01402688486","0.005260081823","0.03214494448","0.007597895967","0.005260081823","0.01227352425","0.02396259497","40","865","2422","3287","0.2631578947","0.7368421053","0.2087673611","0.2135416667","0.2712673611","0.3064236111","265600","43.8"
"74045","26","0.8019323671","0.08792270531","0.07729468599","0.03285024155","0.7389770723","0.03086419753","0.02733686067","0.02733686067","0.006172839506","0.07231040564","0.03615520282","0.007054673721","0.02028218695","0.03350970018","46.5","382","1737","2119","0.180273714","0.819726286","0.3383199079","0.2635212888","0.2393555811","0.1588032221","198213","50.9"
"74046","26","0.774912892","0.08780487805","0.08919860627","0.04808362369","0.8064516129","0.018342821","0.02150537634","0.02783048703","0.006325110689","0.05882352941","0.01644528779","0.005060088552","0.01391524352","0.02530044276","44.5","617","2443","3060","0.2016339869","0.7983660131","0.2890855457","0.2781289507","0.2536873156","0.1790981879","215915","48.5"
"74047","26","0.7425431711","0.08948194662","0.125588697","0.04238618524","0.8109137056","0.02157360406","0.01903553299","0.02791878173","0.003807106599","0.05964467005","0.0152284264","0.003807106599","0.008883248731","0.02918781726","41.5","302","1139","1441","0.2095766829","0.7904233171","0.260131951","0.2676720075","0.2525918944","0.219604147","229861","46.3"
"74130","26","0.7806603774","0.08018867925","0.1155660377","0.02358490566","0.80078125","0.044921875","0.015625","0.021484375","0.005859375","0.041015625","0.033203125","0.01171875","0.005859375","0.01953125","35.8","165","665","830","0.1987951807","0.8012048193","0.2270531401","0.2785829308","0.2367149758","0.2576489533","236860","37.9"
"74131","26","0.5880952381","0.1166666667","0.219047619","0.07619047619","0.9044247788","0.02477876106","0.01769911504","0.01946902655","0","0.01061946903","0","0.005309734513","0.007079646018","0.01061946903","38.1","336","794","1130","0.2973451327","0.7026548673","0.1196911197","0.1994851995","0.2432432432","0.4375804376","308027","43.2"
"74139","26","0.9126984127","0.05291005291","0.02645502646","0.007936507937","0.7797619048","0.04761904762","0.02678571429","0.0119047619","0.02083333333","0.02976190476","0.03869047619","0.008928571429","0.008928571429","0.02678571429","44.9","49","520","569","0.08611599297","0.913884007","0.251497006","0.2654690619","0.2874251497","0.1956087824","233606","32.1"
"74140","26","0.811023622","0.07874015748","0.08398950131","0.02624671916","0.7743467933","0.04038004751","0.01425178147","0.02850356295","0","0.04038004751","0.04038004751","0.01425178147","0.007125890736","0.04038004751","42.8","131","587","718","0.1824512535","0.8175487465","0.2559322034","0.3254237288","0.2406779661","0.1779661017","214281","38"
"74141","26","0.6172006745","0.1635750422","0.1804384486","0.03878583474","0.8438287154","0.04156171285","0.03274559194","0.02141057935","0.003778337531","0.01133501259","0.008816120907","0.008816120907","0.008816120907","0.01889168766","37.2","385","988","1373","0.280407866","0.719592134","0.1663286004","0.2048681542","0.3032454361","0.3255578093","280665","38.4"
"74142","26","0.5841313269","0.1162790698","0.2051983584","0.09439124487","0.9105839416","0.0200729927","0.01186131387","0.01186131387","0","0.007299270073","0","0","0.01277372263","0.02554744526","38.6","620","1471","2091","0.2965088474","0.7034911526","0.1290997906","0.1618981158","0.2400558269","0.4689462666","319625","43"
"74143","26","0.7359454855","0.09540034072","0.1226575809","0.04599659284","0.718328841","0.02964959569","0.02156334232","0.03369272237","0.004043126685","0.06064690027","0.08221024259","0.01078167116","0.008086253369","0.03099730458","38","294","958","1252","0.2348242812","0.7651757188","0.2908496732","0.2745098039","0.2549019608","0.1797385621","216622","35.5"
"74144","26","0.5705128205","0.1602564103","0.1923076923","0.07692307692","0.8846153846","0.04615384615","0.01153846154","0.01153846154","0","0.02692307692","0","0","0","0.01923076923","38.8","125","342","467","0.2676659529","0.7323340471","0.1480362538","0.1359516616","0.1722054381","0.5438066465","352244","49.7"
"74145","26","0.2950391645","0.2062663185","0.3785900783","0.1201044386","0.925","0.01617647059","0.03235294118","0.004411764706","0.004411764706","0.004411764706","0.008823529412","0","0.004411764706","0","27.4","525","737","1262","0.4160063391","0.5839936609","0.08011444921","0.1244635193","0.2303290415","0.56509299","355083","39.8"
"74146","26","0.2424242424","0.1888111888","0.4102564103","0.1585081585","0.9239543726","0.0164765526","0.01774397972","0.008871989861","0.003802281369","0.01267427123","0.003802281369","0","0","0.01267427123","29","646","896","1542","0.4189364462","0.5810635538","0.06385542169","0.121686747","0.2048192771","0.6096385542","378329","38.3"
"74147","26","0.4395604396","0.1978021978","0.2769230769","0.08571428571","0.865819209","0.04237288136","0.04237288136","0.00988700565","0","0.004237288136","0.00988700565","0","0.008474576271","0.01694915254","26.4","471","769","1240","0.3798387097","0.6201612903","0.1370420624","0.1682496608","0.3215739484","0.3731343284","298581","36"
"74171","26","0","1","0","0","1","0","0","0","0","0","0","0","0","0","33.3","0","4","4","0","1","0.6666666667","0.3333333333","0","0","216531","22.5"
"74190","26","0.7191011236","0.08988764045","0.1161048689","0.07490636704","0.7979002625","0.02362204724","0.03412073491","0.01049868766","0","0.03674540682","0.007874015748","0.007874015748","0.02099737533","0.06036745407","40.1","153","503","656","0.2332317073","0.7667682927","0.2341772152","0.1666666667","0.2447257384","0.3544303797","281653","46.7"
"74191","26","0.65625","0.1197916667","0.15625","0.06770833333","0.8576512456","0.0231316726","0.02669039146","0.005338078292","0.005338078292","0.01779359431","0.005338078292","0.005338078292","0.01423487544","0.03914590747","40.4","257","754","1011","0.2542037587","0.7457962413","0.1712328767","0.1917808219","0.2315068493","0.4054794521","298989","49"
"74192","26","0.5450980392","0.1274509804","0.231372549","0.09607843137","0.8734491315","0.01736972705","0.01861042184","0.02109181141","0","0.007444168734","0.007444168734","0.003722084367","0.0111662531","0.03970223325","36.5","473","1051","1524","0.3103674541","0.6896325459","0.1727272727","0.1828282828","0.2353535354","0.4090909091","296969","42.9"
"74193","26","0.6530612245","0.1265306122","0.1755102041","0.04489795918","0.9063444109","0.009063444109","0.009063444109","0.01812688822","0","0.01812688822","0","0","0.009063444109","0.03021148036","40.2","155","449","604","0.2566225166","0.7433774834","0.1570438799","0.1893764434","0.2678983834","0.3856812933","295079","49.6"
"74194","26","0.6666666667","0.1282051282","0.1355311355","0.0695970696","0.8630490956","0.02067183463","0.02842377261","0","0","0.02842377261","0.007751937984","0","0.02325581395","0.02842377261","39.6","176","530","706","0.2492917847","0.7507082153","0.1670020121","0.2012072435","0.2414486922","0.3903420523","299191","49.9"
"74195","26","0.7198275862","0.1163793103","0.1228448276","0.04094827586","0.8706624606","0.009463722397","0.01735015773","0.009463722397","0.004731861199","0.02996845426","0.004731861199","0","0.02996845426","0.02365930599","42.5","234","890","1124","0.2081850534","0.7918149466","0.1992966002","0.2168815944","0.2919109027","0.2919109027","268420","44.8"
"74231","26","0.9349845201","0.04179566563","0.01857585139","0.004643962848","0.7927107062","0.02961275626","0.006833712984","0.03416856492","0.006833712984","0.08428246014","0.006833712984","0","0.02277904328","0.0159453303","56.5","60","897","957","0.06269592476","0.9373040752","0.2595596756","0.3325608343","0.1946697567","0.2132097335","206226","49.6"
"74232","26","0.7303754266","0.08873720137","0.1194539249","0.0614334471","0.9005847953","0.01461988304","0.01461988304","0.008771929825","0","0.04970760234","0","0","0","0.01169590643","44.2","152","540","692","0.2196531792","0.7803468208","0.1673076923","0.2403846154","0.2057692308","0.3865384615","279376","51.2"
"74233","26","0.7661691542","0.08955223881","0.1243781095","0.01990049751","0.8721461187","0.01369863014","0.01369863014","0.01369863014","0","0.03196347032","0","0.01369863014","0.01369863014","0.02739726027","46.4","80","358","438","0.1826484018","0.8173515982","0.1852941176","0.3058823529","0.2588235294","0.25","242623","46.3"
"74234","26","0.7900172117","0.09122203098","0.08089500861","0.03786574871","0.7341549296","0.0264084507","0.02992957746","0.0264084507","0.007042253521","0.09154929577","0.04929577465","0.01056338028","0","0.02464788732","41.6","221","821","1042","0.2120921305","0.7879078695","0.3167938931","0.3091603053","0.2175572519","0.1564885496","199703","40.9"
