phase_from,phase_to,year,amount__from_camps
gaza__camps__from,gaza__camps__to,2017,991
gaza__camps__from,gaza__governorates_centers__to,2017,8172
gaza__camps__from,gaza__localities_other_than_governorates_centers__to,2017,4697
gaza__camps__from,middle__camps__to,2017,9
gaza__camps__from,middle__governorates_centers__to,2017,16
gaza__camps__from,middle__localities_other_than_governorates_centers__to,2017,6
gaza__camps__from,north__governorates_centers__to,2017,1
gaza__camps__from,north__localities_other_than_governorates_centers__to,2017,2
gaza__camps__from,south__governorates_centers__to,2017,1
gaza__camps__from,south__localities_other_than_governorates_centers__to,2017,1
gaza__camps__from,unknown__unknown__to,2017,208
middle__camps__from,gaza__camps__to,2017,2
middle__camps__from,gaza__governorates_centers__to,2017,1
middle__camps__from,middle__camps__to,2017,51
middle__camps__from,middle__governorates_centers__to,2017,141
middle__camps__from,middle__localities_other_than_governorates_centers__to,2017,624
middle__camps__from,north__camps__to,2017,7
middle__camps__from,north__governorates_centers__to,2017,18
middle__camps__from,north__localities_other_than_governorates_centers__to,2017,20
middle__camps__from,south__camps__to,2017,3
middle__camps__from,south__governorates_centers__to,2017,20
middle__camps__from,south__localities_other_than_governorates_centers__to,2017,50
middle__camps__from,unknown__unknown__to,2017,44
north__camps__from,gaza__localities_other_than_governorates_centers__to,2017,1
north__camps__from,middle__camps__to,2017,15
north__camps__from,middle__governorates_centers__to,2017,28
north__camps__from,middle__localities_other_than_governorates_centers__to,2017,67
north__camps__from,north__camps__to,2017,129
north__camps__from,north__governorates_centers__to,2017,1338
north__camps__from,north__localities_other_than_governorates_centers__to,2017,1129
north__camps__from,north__unknown__to,2017,1
north__camps__from,south__camps__to,2017,3
north__camps__from,south__governorates_centers__to,2017,1
north__camps__from,south__localities_other_than_governorates_centers__to,2017,13
north__camps__from,unknown__unknown__to,2017,97
south__camps__from,gaza__governorates_centers__to,2017,1
south__camps__from,middle__camps__to,2017,5
south__camps__from,middle__governorates_centers__to,2017,18
south__camps__from,middle__localities_other_than_governorates_centers__to,2017,19
south__camps__from,north__camps__to,2017,2
south__camps__from,north__governorates_centers__to,2017,11
south__camps__from,north__localities_other_than_governorates_centers__to,2017,4
south__camps__from,south__camps__to,2017,28
south__camps__from,south__governorates_centers__to,2017,30
south__camps__from,south__localities_other_than_governorates_centers__to,2017,516
south__camps__from,unknown__unknown__to,2017,59
gaza__camps__from,gaza__camps__to,2007,443
gaza__camps__from,gaza__governorates_centers__to,2007,5017
gaza__camps__from,gaza__localities_other_than_governorates_centers__to,2007,2527
gaza__camps__from,middle__governorates_centers__to,2007,13
gaza__camps__from,north__camps__to,2007,1
gaza__camps__from,north__governorates_centers__to,2007,1
gaza__camps__from,south__localities_other_than_governorates_centers__to,2007,1
gaza__camps__from,unknown__unknown__to,2007,215
middle__camps__from,middle__camps__to,2007,64
middle__camps__from,middle__governorates_centers__to,2007,194
middle__camps__from,middle__localities_other_than_governorates_centers__to,2007,568
middle__camps__from,north__camps__to,2007,3
middle__camps__from,north__governorates_centers__to,2007,10
middle__camps__from,north__localities_other_than_governorates_centers__to,2007,22
middle__camps__from,south__camps__to,2007,2
middle__camps__from,south__governorates_centers__to,2007,1
middle__camps__from,south__localities_other_than_governorates_centers__to,2007,23
middle__camps__from,unknown__unknown__to,2007,95
north__camps__from,gaza__governorates_centers__to,2007,1
north__camps__from,middle__camps__to,2007,21
north__camps__from,middle__governorates_centers__to,2007,32
north__camps__from,middle__localities_other_than_governorates_centers__to,2007,73
north__camps__from,north__camps__to,2007,173
north__camps__from,north__governorates_centers__to,2007,1425
north__camps__from,north__localities_other_than_governorates_centers__to,2007,618
north__camps__from,south__camps__to,2007,7
north__camps__from,south__localities_other_than_governorates_centers__to,2007,1
north__camps__from,unknown__unknown__to,2007,405
south__camps__from,middle__camps__to,2007,5
south__camps__from,middle__governorates_centers__to,2007,17
south__camps__from,middle__localities_other_than_governorates_centers__to,2007,20
south__camps__from,north__camps__to,2007,11
south__camps__from,north__governorates_centers__to,2007,1
south__camps__from,north__localities_other_than_governorates_centers__to,2007,6
south__camps__from,south__camps__to,2007,48
south__camps__from,south__governorates_centers__to,2007,39
south__camps__from,south__localities_other_than_governorates_centers__to,2007,406
south__camps__from,unknown__unknown__to,2007,77
gaza__camps__from,gaza__camps__to,1997,2412
gaza__camps__from,gaza__governorates_centers__to,1997,4802
gaza__camps__from,gaza__localities_other_than_governorates_centers__to,1997,1972
gaza__camps__from,middle__camps__to,1997,16
gaza__camps__from,middle__governorates_centers__to,1997,7
gaza__camps__from,middle__localities_other_than_governorates_centers__to,1997,34
gaza__camps__from,middle__unknown__to,1997,1
gaza__camps__from,north__camps__to,1997,8
gaza__camps__from,north__governorates_centers__to,1997,53
gaza__camps__from,north__localities_other_than_governorates_centers__to,1997,8
gaza__camps__from,south__camps__to,1997,1
gaza__camps__from,south__governorates_centers__to,1997,2
gaza__camps__from,south__localities_other_than_governorates_centers__to,1997,6
gaza__camps__from,unknown__unknown__to,1997,995
middle__camps__from,gaza__camps__to,1997,1
middle__camps__from,middle__camps__to,1997,49
middle__camps__from,middle__governorates_centers__to,1997,180
middle__camps__from,middle__localities_other_than_governorates_centers__to,1997,320
middle__camps__from,middle__unknown__to,1997,1
middle__camps__from,north__camps__to,1997,8
middle__camps__from,north__governorates_centers__to,1997,1
middle__camps__from,north__localities_other_than_governorates_centers__to,1997,12
middle__camps__from,south__governorates_centers__to,1997,8
middle__camps__from,south__localities_other_than_governorates_centers__to,1997,26
middle__camps__from,unknown__unknown__to,1997,39
north__camps__from,gaza__camps__to,1997,4
north__camps__from,gaza__governorates_centers__to,1997,1
north__camps__from,middle__camps__to,1997,13
north__camps__from,middle__governorates_centers__to,1997,153
north__camps__from,middle__localities_other_than_governorates_centers__to,1997,141
north__camps__from,north__camps__to,1997,185
north__camps__from,north__governorates_centers__to,1997,712
north__camps__from,north__localities_other_than_governorates_centers__to,1997,487
north__camps__from,north__unknown__to,1997,1
north__camps__from,south__camps__to,1997,1
north__camps__from,south__governorates_centers__to,1997,7
north__camps__from,south__localities_other_than_governorates_centers__to,1997,3
north__camps__from,unknown__unknown__to,1997,184
south__camps__from,gaza__camps__to,1997,1
south__camps__from,middle__camps__to,1997,11
south__camps__from,middle__governorates_centers__to,1997,53
south__camps__from,middle__localities_other_than_governorates_centers__to,1997,52
south__camps__from,middle__unknown__to,1997,4
south__camps__from,north__camps__to,1997,1
south__camps__from,north__governorates_centers__to,1997,4
south__camps__from,south__camps__to,1997,36
south__camps__from,south__governorates_centers__to,1997,128
south__camps__from,south__localities_other_than_governorates_centers__to,1997,299
south__camps__from,unknown__unknown__to,1997,34
