phase_from,phase_to,year,amount__locality_type
camps__from,camps__to,2017,1245
camps__from,governorates_centers__to,2017,9797
camps__from,localities_other_than_governorates_centers__to,2017,7149
camps__from,unknown__to,2017,409
governorates_centers__from,camps__to,2017,2405
governorates_centers__from,governorates_centers__to,2017,9357
governorates_centers__from,localities_other_than_governorates_centers__to,2017,11110
governorates_centers__from,unknown__to,2017,1325
localities_other_than_governorates_centers__from,camps__to,2017,1702
localities_other_than_governorates_centers__from,governorates_centers__to,2017,6706
localities_other_than_governorates_centers__from,localities_other_than_governorates_centers__to,2017,17081
localities_other_than_governorates_centers__from,unknown__to,2017,2410
unknown__from,camps__to,2017,602
unknown__from,governorates_centers__to,2017,4428
unknown__from,localities_other_than_governorates_centers__to,2017,7600
unknown__from,unknown__to,2017,97
unknown__from,unknown__to,2007,251
unknown__from,governorates_centers__to,2007,5619
unknown__from,localities_other_than_governorates_centers__to,2007,8118
unknown__from,camps__to,2007,1042
localities_other_than_governorates_centers__from,unknown__to,2007,5097
localities_other_than_governorates_centers__from,governorates_centers__to,2007,6938
localities_other_than_governorates_centers__from,localities_other_than_governorates_centers__to,2007,16049
localities_other_than_governorates_centers__from,camps__to,2007,1615
governorates_centers__from,unknown__to,2007,2693
governorates_centers__from,governorates_centers__to,2007,7940
governorates_centers__from,localities_other_than_governorates_centers__to,2007,11130
governorates_centers__from,camps__to,2007,2271
camps__from,unknown__to,2007,792
camps__from,governorates_centers__to,2007,6751
camps__from,localities_other_than_governorates_centers__to,2007,4265
camps__from,camps__to,2007,778
unknown__from,unknown__to,1997,1436
unknown__from,localities_other_than_governorates_centers__to,1997,34220
unknown__from,governorates_centers__to,1997,20396
unknown__from,camps__to,1997,7856
localities_other_than_governorates_centers__from,unknown__to,1997,4269
localities_other_than_governorates_centers__from,localities_other_than_governorates_centers__to,1997,11333
localities_other_than_governorates_centers__from,governorates_centers__to,1997,4929
localities_other_than_governorates_centers__from,camps__to,1997,1299
governorates_centers__from,unknown__to,1997,2530
governorates_centers__from,localities_other_than_governorates_centers__to,1997,7829
governorates_centers__from,governorates_centers__to,1997,6445
governorates_centers__from,camps__to,1997,4768
camps__from,unknown__to,1997,1259
camps__from,localities_other_than_governorates_centers__to,1997,3360
camps__from,governorates_centers__to,1997,6111
camps__from,camps__to,1997,2747
